Affiliation,Count
RVIOTAM,1
COGNITIVEBOTICS,1
IPGDC,1
TCOEATP,1
RITW,1
BIOEAT,1
JNTU,1
LIOTAM,1
GNITS,1
KITSW,1
GIOTAS,1
RGUOKATR,1
HITAM,1
RGMC,1
RGMCOEAT(,1
VRSEC,1
TCOEAT,1
GNITS,1
TCOT,1
DEARI,1
GD.GOENKA UNIVERSITY,1
MCOEFW,1
BITS,1
VIOTAAP,1
ISOTAS,1
MCOEAT,1
KIOEATFW,1
SBISAT,1
GIOTAS,1
SBIOSAT,1
VELLORE INSTITUTE OF TECHNOLOGY,1
RGUOKTB,1
MLR,1
ITH,1
MRECW,1
ERICSSON,1
SGOIS,1
SMIOTFW,1
AAU,1
WDC,1
SLOEAT,1
GPP,1
RIB,1
MIOEAT,1
RMIOTFW,1
SCP,1
BASAR IIIT,1
VLIOT&S,1
YECOY,1
NIOTT,1
IIIT NAGPUR,1
HDC,1
PIOTAS,1
IIOITSM,1
IFFHEIU,1
IUOH,1
IFFHE(H,1
IFH,1
CEC,1
IUH,1
IFFHE,1
GNIOTAS,1
RGUOKTB,1
AWDC,1
ISSPL,1
NIOTG,1
AD,1
SEARS,1
SIOEAT,1
GDGD,1
KPRT,1
SNIST,1
MVRG,1
"VU,",1
TIFFHE(,1
UOEAMK,1
IIT GANDHINAGAR,1
IUH,1
SIOT,1
MVGR,1
PJTSAU,1
CDTBU,1
RGUKT BASAR,1
RGUKT,1
GVP,1
RGUOKT,1
SCOEATFW,1
SBIOSAT,1
RGUKT,1
LIOE,1
VRSCOE,1
RVRJCCE,1
CUH,1
JNTUHCER,1
JNTUA,1
NLC,1
RAJCOE,1
JUCOEJ,1
SMDC,1
"RGUOKT,",1
VIT,1
JCOE,1
IIIT BHUBANESHWAR,1
SIOTAM,1
MIOTAS,1
VBIT,1
UCOEO,1
JNTUA ANANTAPUR,1
RGUOKATIB,1
SCFW,1
AIML,1
REC,1
RGUKT,1
MSRUOAS,1
CENTURION UNIVERSITY,1
SDC,1
JCOET,1
KODNEST,1
BMSCE,1
OSU,1
SCRP,1
SRGEC,1
VVITU,1
RGUKT,1
GGCN,1
SMCDC,1
GPREC,1
BDCG,1
SIOSATK,1
CHET,1
PIOTAS,1
TJBT,1
RVR&JCCOE,1
DCAGTBALE,1
ITUH,1
ITUOH,1
RIOT,1
PCOEAT,1
RGUOKT(,1
"ICFAI UNIVERSITY,HYDERABAD",1
GCOEAT,1
KECFWN,1
IIOIT(D,1
"IGNTU, AMARKANTAK",1
VVIOIT,1
GITAM UNIVERSITY,1
MEC,1
IT JARGONS,1
VIOIT,1
VIOIT,1
DBSIT COLLEGE,1
VIOIT,1
SVIOSAT,1
PIOTAS,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY,1
MBU,1
ICFAITECH UNIVERSITY,1
SUI,1
SVDC,1
KCIOTAS,1
KTKM,1
HCOE,1
NIOTV,1
IIIT VADODARA,1
KITS,1
RAO'S COLLEGE,1
VIIT,1
VIOIT,1
KIOTASW,1
MSUS,1
PBIOT,1
SCJC,1
UOM,1
LIOEAT,1
CTC,1
OUCESF,1
AIOT,1
SIN,1
VIOT,1
KLH,1
MVGCOE,1
RGUOKTAP,1
SATAVHANA,1
"NIOT,P",1
VSU,1
PIOEAT,1
DSRIOT,1
VIOIA,1
I,1
MGIOT,1
GCC(H,1
ISH,1
LAH,1
SVEC,1
MGU,1
SCRCOEE,1
ST FRANCIS,1
NIT ANDHRAPRADESH,1
JNTUK,1
RGUKT RKVALLEY,1
RGUOKT,1
IFHE HYDERABAD,1
DDHMCOT,1
CUW,1
NCOEAT,1
AIOMAS,1
JNTU KAKINADA,1
BBDU,1
JPNCOE,1
RIOEAT,1
IUFHEH,1
SASI,1
IFHE,1
AIZA,1
IFOHE,1
AUAEC,1
NMIMS,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,1
GVPPADC,1
SEC,1
PEC,1
SCRRCOEE,1
AWDCK,1
RRV,1
RGUOKTB,1
PEC,1
BRMDC,1
ITSL,1
WELLSFARGO,1
PURDUE UNIVERSITY,1
SCOEAT,1
RGUAKT,1
"RGIOKAT,V",1
ICFAI UNIVER,1
SVIOEAT,1
SACOEAT,1
VRIOT,1
MAOHE,1
DREC,1
APCR,1
RGUOKATRVU,1
UOIC,1
UCOSS,1
BOB,1
SUR,1
DSAOT&M,1
HINDUSTAN UNIVERSITY,1
AVVC,1
NIU,1
LIFE ENTERPRISES,1
VEMUIT,1
VIOT,1
VVJIOEAT,1
IDUH,1
RGUOKTRV,1
IUOHEH,1
VFFSTAR(TBU,1
AVVB,1
BHU,1
NIOT,1
AUCOE,1
NCABBHT5,1
NCBH,1
MNNIT,1
AZAD,1
AMAZON ADS,1
TJIOT,1
SSKDC,1
KIET,1
ARATA,1
"RGUKT,BASAR",1
RMIOTAEC,1
ADCV,1
JNTU GV,1
BIOTB,1
VIT,1
UOPAES,1
MCOE(,1
NFSUG,1
SVIOEATN,1
ADITYA UNIVERISTY,1
KAIOT,1
ICFAI,1
MDRK,1
JNTUOK,1
ADCMH,1
DMCOT,1
VIOIAT,1
TOCE,1
KIOEATFW,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
VRSEC,1
KIOEATK,1
RMIOEATFW,1
VLITAS,1
RGUOKATO,1
IBV,1
MSIOT,1
IIOITB,1
RGUKT,1
BHCOEFW,1
VIOI,1
ECOEAT,1
SVCET,1
ME,1
CHIRAYU,1
RCOE,1
VBEC,1
ADPULP,1
GDTBU,1
(KIOEAT,1
KIOEAT,1
KIOEATFW,1
AVVA,1
MANIOTB,1
"SU,KC",1
RGUKT(IIIT),1
KMCOE,1
AEC,1
RGUOKATKV,1
RUOAS,1
KIEW,1
VVJIOE&TT,1
GCOEAT,1
K&KIOTAS,1
KIOEAT,1
SDJSCOE,1
DJSCOE,1
NIOTU,1
VVJIOEAT,1
PESITM,1
KIOET,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
TEC,1
AWD&C,1
SCOET,1
ANJIRACHAPI143@GMAOL.COM,1
SVU,1
SSCOM,1
HCOEAT,1
MIOTAS,1
VRSEC,1
SVCOET,1
SNP&WUOSAT,1
UOIS,1
LKDFJAKLD,1
AWDAPC,1
ADC,1
DLBCOE,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1
KIOEAT2,1
SIIOT,1
BBCIT,1
SIOSATP,1
GVPOE,1
NDC,1
RDAPC,1
IIOTP,1
MADANAPALLE,1
SJDC,1
SIIOE&T,1
ROHITH VELTURI,1
SNIST,1
AEC,1
